noise_sigma,run_iterations,epoch,rmse_km_s,ssim,velocity_objective,waveform_cost,result_dir
0,35,26,0.2650075935612533,0.6259561118085292,0.03511451232256321,0.00027507750201039016,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175343_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,35,27,0.25923801059746665,0.6298212287083701,0.03360217306926611,0.00029242338496260345,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175343_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,35,28,0.2536371463290109,0.634866744203655,0.03216590099896205,0.00025900971377268434,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175343_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,35,29,0.24863971646213576,0.6383384195822382,0.030910854301185633,0.0002354610915062949,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175343_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,35,30,0.2439404861499375,0.6413937966980945,0.029753480391533926,0.00022167777933645993,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175343_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,35,31,0.23990799403616037,0.643664674204235,0.02877792280122718,0.00019262147543486208,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175343_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,35,32,0.23640234062135815,0.6463659310166491,0.027943033325628322,0.00018201563216280192,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175343_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,35,33,0.23338591346862386,0.649147108564179,0.027234492302791995,0.00015959437587298453,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175343_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,35,34,0.23095393349236162,0.65177934359168,0.026669859697797095,0.00016233189671766013,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175343_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,35,35,0.22902280519010837,0.6545767323034247,0.026225722648573164,0.0001341128081548959,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175343_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,0,0.664687743043906,0.46964471952111286,0.22090489787640077,,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,1,0.6357594159078914,0.4626320354862161,0.20209501745777164,0.030896583572030067,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,2,0.6119532524153879,0.44357964787575205,0.1872433915708857,0.021503310650587082,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,3,0.5893676368171151,0.43714675815096876,0.17367710566369546,0.015391409397125244,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,4,0.5663528141614672,0.4369630000112726,0.16037775505430674,0.011067572049796581,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,5,0.541702914195845,0.4461471062508268,0.14672102362413553,0.007787922862917185,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,6,0.5158115104401261,0.46101806736616036,0.13303075715126214,0.005681897513568401,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,7,0.4886797505003692,0.4786566241088895,0.11940394927455154,0.0041448455303907394,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,8,0.46381653495255637,0.49465544430995984,0.10756288904769797,0.0032436226028949022,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
